off_code,product_name,brand,image_url,calories_100g,protein_100g,carbs_100g,fat_100g,completeness,quality_tier,serving_size,no_nutriments,additives_n,additives,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutrition_grade_fr,main_category,main_category_fr,image_small_url,labels,labels_tags,labels_fr,emb_codes,emb_codes_tags,first_packaging_code_geo,cities,cities_tags,purchase_places,stores,countries,countries_tags,categories,categories_tags
300000991,Luxury toasted muesli ancient grains & super fruits,Pam’s Finest,https://images.openfoodfacts.org/images/products/000/030/000/0991/front_en.3.400.jpg,442.0,12.3000001907349,68.5,12.8000001907349,0.82,tier1,50.0g,,,,,,,,,,,,en:breakfast-cereals,,https://images.openfoodfacts.org/images/products/000/030/000/0991/front_en.3.200.jpg,,,,,,,,,,,us,en:united-states,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals"
300056728,Quaker Maple And Brown Sugar Instant oatmeal,Quaker,https://images.openfoodfacts.org/images/products/000/030/005/6728/front_en.9.400.jpg,160.0,4.0,33.0,2.0,0.8,tier1,,,0.0,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/030/005/6728/front_en.9.200.jpg,Natural flavors,en:natural-flavors,,,,,,,America,Walmart,United States,en:united-states,,
3113,Premium Chocolate Sauce,Ghirardelli,https://images.openfoodfacts.org/images/products/000/000/000/3113/front_en.3.400.jpg,275.0,2.5,67.5,2.5,0.9,tier1,40 g,,1.0,,"en:e322,en:e322i",,,,,,,,en:chocolate-sauce,,https://images.openfoodfacts.org/images/products/000/000/000/3113/front_en.3.200.jpg,,,,,,,,,,,United States,en:united-states,"Condiments, Sauces, Dessert sauces, Chocolate sauce","en:condiments,en:sauces,en:dessert-sauces,en:chocolate-sauce"
334181277,Peanut Butter Stuffed Oat Bars,Pip & Nut,https://images.openfoodfacts.org/images/products/000/033/418/1277/front_en.3.400.jpg,100.0,3.00448421940141,9.23766833249764,5.38116591928251,0.84,tier1,223.0g,,,,,,,,,,,,en:nut-bars,,https://images.openfoodfacts.org/images/products/000/033/418/1277/front_en.3.200.jpg,"High fibres,Vegan,Carbon compensated product,Carbon neutral","en:vegetarian,en:carbon-compensated-product,en:source-of-fibre,en:vegan,en:high-fibres",,,,,,,,,us,en:united-states,"Bars,Nut bars,Sweet snacks,Snacks","en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:sweet-snacks,en:nuts-and-their-products,en:bars,en:nut-bars"
390102819,Isalean whole blend Plant-Based,Isogenix,https://images.openfoodfacts.org/images/products/000/039/010/2819/front_en.6.400.jpg,415.0,45.3,34.0,9.43,0.82,tier1,53g,,,,,,,,,,,,en:dietary-supplements,,https://images.openfoodfacts.org/images/products/000/039/010/2819/front_en.6.200.jpg,,,,,,,,,,,en:us,en:united-states,Dietary supplements,en:dietary-supplements
390103588,Protein Crackers,Isagenix,https://images.openfoodfacts.org/images/products/000/039/010/3588/front_en.8.400.jpg,370.0,37.0,37.0,14.8,0.82,tier1,14 crackers (27 g),,2.0,,"en:e392,en:e415",,,,,,,,,,https://images.openfoodfacts.org/images/products/000/039/010/3588/front_en.8.200.jpg,,,,,,,,,,,en:united-states,en:united-states,,
390204071,Isagenix,ISAGENIX,https://images.openfoodfacts.org/images/products/000/039/020/4071/front_en.24.400.jpg,403.22580645161,38.709677419355,35.483870967742,12.903225806452,0.94,tier1,62 g,,3.0,,"en:e322,en:e322i,en:e415,en:e572",,,,,,,,en:protein-shakes,,https://images.openfoodfacts.org/images/products/000/039/020/4071/front_en.24.200.jpg,"Vegetarian, No gluten, No milk, No soy","en:no-gluten,en:vegetarian,en:no-milk,en:no-soy",,204071 390CC56.071-02,204071-390cc56-071-02,,,,N.Y. United States,Whole Foods,United States,en:united-states,"Dietary supplements, Bodybuilding supplements, Protein shakes","en:dietary-supplements,en:bodybuilding-supplements,en:protein-shakes"
4011,Bananer Bama,Bama dagligvare  as,https://images.openfoodfacts.org/images/products/000/000/000/4011/front_en.36.400.jpg,89.0,0.52632,14.73684,0.0,0.94,tier1,190 g,,0.0,,,,,,,,,,en:bananas,,https://images.openfoodfacts.org/images/products/000/000/000/4011/front_en.36.200.jpg,No gluten,en:no-gluten,,,,,,,,Metro,"Canada,United States","en:canada,en:united-states","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Tropical fruits,Bananas","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:tropical-fruits,en:bananas"
4062,Organic Raw Pumpkin Seeds,,https://images.openfoodfacts.org/images/products/000/000/000/4062/front_en.13.400.jpg,600.0,26.7,13.3,53.3,0.84,tier1,15g,,0.0,,,,,,,,,,en:cucumbers,,https://images.openfoodfacts.org/images/products/000/000/000/4062/front_en.13.200.jpg,,,,,,,,,,,"en:canada,en:United States","en:canada,en:united-states","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Vegetables based foods, Cucumbers","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:vegetables,en:cucumbers"
4068,Green Onions,,https://images.openfoodfacts.org/images/products/000/000/000/4068/front_en.9.400.jpg,32.0,2.0,7.0,0.0,0.8,tier1,,,0.0,,,,,,,,,,en:scallions,,https://images.openfoodfacts.org/images/products/000/000/000/4068/front_en.9.200.jpg,,,,,,,,,,Metro,"Canada,United States","en:canada,en:united-states","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Vegetables based foods,Culinary plants,Vegetables,Fresh foods,Fresh plant-based foods,Onions and their products,Fresh vegetables,Onions,Fresh onions,Scallions","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:condiments,en:vegetables-based-foods,en:culinary-plants,en:vegetables,en:fresh-foods,en:fresh-plant-based-foods,en:onions-and-their-products,en:fresh-vegetables,en:onions,en:fresh-onions,en:scallions"
417012009,"Rum Trauben Nuss, Milk Chocolate Wih Rum Raisins & Nuts",Ritter Sport,https://images.openfoodfacts.org/images/products/000/041/701/2009/front_ru.3.400.jpg,512.0,8.0,56.0,28.0,0.84,tier1,25 g (0.25 BAR),,1.0,,"en:e322,en:e322i",,,,,,,,,,https://images.openfoodfacts.org/images/products/000/041/701/2009/front_ru.3.200.jpg,Green Dot,en:green-dot,,,,,,,,,United States,en:united-states,,
4221,100% Grass-fed Whey Protein Isolate,Transparent Labs,https://images.openfoodfacts.org/images/products/000/000/000/4221/front_en.3.400.jpg,378.0,75.7,8.11,2.7,0.82,tier1,37g,,1.0,,"en:e322,en:e322i",,,,,,,,,,https://images.openfoodfacts.org/images/products/000/000/000/4221/front_en.3.200.jpg,,,,,,,,,,,en:united-states,en:united-states,,
4333,GenePro,GenePro,https://images.openfoodfacts.org/images/products/000/000/000/4333/front_en.4.400.jpg,400.0,300.0,0.0,0.0,0.92,tier1,11g,,0.0,,,,,,,,,,en:protien-powder,,https://images.openfoodfacts.org/images/products/000/000/000/4333/front_en.4.200.jpg,"No lactose, en:no-gluten","en:no-gluten,en:no-lactose",,,,,,,,,en:United States,en:united-states,Protien powder,en:protien-powder
441018603,Geschnetzeltes,"Cornatur,Quorn",https://images.openfoodfacts.org/images/products/000/044/101/8603/front_en.8.400.jpg,100.0,14.0,1.70000004768372,2.59999990463257,0.86,tier1,100.0g,,,,,,,,,,,,en:meat-analogues,,https://images.openfoodfacts.org/images/products/000/044/101/8603/front_en.8.200.jpg,"Vegetarian, Vegan, European Vegetarian Union, European Vegetarian Union Vegan, Nutriscore, Nutriscore Grade A","en:vegetarian,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:nutriscore,en:nutriscore-grade-a",,,,,,,,Migros,Vereinigte Staaten von Amerika,en:united-states,"Meat alternatives, Meat analogues","en:meat-alternatives,en:meat-analogues"
441118593,Gehacktes,Cornatur,https://images.openfoodfacts.org/images/products/000/044/111/8593/front_en.3.400.jpg,105.0,15.0,0.5,3.09999990463257,0.86,tier1,100.0g,,,,,,,,,,,,en:plant-based-foods,,https://images.openfoodfacts.org/images/products/000/044/111/8593/front_en.3.200.jpg,"Vegetarian, European Vegetarian Union, Nutriscore, Nutriscore Grade A","en:vegetarian,en:european-vegetarian-union,en:nutriscore,en:nutriscore-grade-a",,,,,,,,Migros,us,en:united-states,"Plant-based foods and beverages, Plant-based foods","en:plant-based-foods-and-beverages,en:plant-based-foods"
4419,Spirulina from France,Aroma-zone,https://images.openfoodfacts.org/images/products/000/000/000/4419/front_en.3.400.jpg,390.0,67.0,14.0,7.09999990463257,0.82,tier1,100.0g,,,,,,,,,,,,en:spirulina,,https://images.openfoodfacts.org/images/products/000/000/000/4419/front_en.3.200.jpg,,,,,,,,,,,United States,en:united-states,"Dietary supplements, Spirulina","en:dietary-supplements,en:spirulina"
547404828,Organic Hummus,Trader Joe’s,https://images.openfoodfacts.org/images/products/000/054/740/4828/front_en.3.400.jpg,70.0,2.0,4.0,5.0,0.92,tier1,28.0g,,1.0,,en:e330,,,,,,,,en:hummus,,https://images.openfoodfacts.org/images/products/000/054/740/4828/front_en.3.200.jpg,"Organic, USDA Organic","en:organic,en:usda-organic",,,,,,,,,us,en:united-states,"Plant-based foods and beverages, Plant-based foods, Condiments, Spreads, Plant-based spreads, Salted spreads, Sauces, Dips, Hummus","en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:spreads,en:plant-based-spreads,en:salted-spreads,en:sauces,en:dips,en:hummus"
5487,Potato chips,Trader Joe's,https://images.openfoodfacts.org/images/products/000/000/000/5487/front_en.3.400.jpg,536.0,7.14,57.14,32.14,0.92,tier1,1 ONZ (28 g),,0.0,,,,,,,,,,en:potato-crisps,,https://images.openfoodfacts.org/images/products/000/000/000/5487/front_en.3.200.jpg,,,,,,,,,,Trader Joe's,United States,en:united-states,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, en:potato-crisps","en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps"
563048532,Cauliflower & Broccoli Vegetable Patties,Trader Joe's,https://images.openfoodfacts.org/images/products/000/056/304/8532/front_en.3.400.jpg,100.0,4.0,12.0,4.0,0.84,tier1,,,0.0,,,,,,,,,,en:vegetable-patties,,https://images.openfoodfacts.org/images/products/000/056/304/8532/front_en.3.200.jpg,,,,,,,,,,,en:United States,en:united-states,vegetable patties,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:prepared-vegetables,en:vegetable-patties"
