off_code,product_name,brand,image_url,calories_100g,protein_100g,carbs_100g,fat_100g,completeness,quality_tier,serving_size,no_nutriments,additives_n,additives,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutrition_grade_fr,main_category,main_category_fr,image_small_url,labels,labels_tags,labels_fr,emb_codes,emb_codes_tags,first_packaging_code_geo,cities,cities_tags,purchase_places,stores,countries,countries_tags,categories,categories_tags
100818950,INHUMAN PRE-WORKOUT,AFTERDARK,https://images.openfoodfacts.org/images/products/000/010/081/8950/front_en.3.400.jpg,0.0,0.0,0.0,0.0,0.74,tier2,1 portion (12.4 g),,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/081/8950/front_en.3.200.jpg,,,,,,,,,,,en:United States,en:united-states,,
100894271,Artisjokharten,Boni,https://images.openfoodfacts.org/images/products/000/010/089/4271/front_en.3.400.jpg,39.0,1.5,6.5,0.5,0.76,tier2,100.0g,,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/089/4271/front_en.3.200.jpg,Nutriscore,en:nutriscore,,,,,,,,,us,en:united-states,,
103425404,Collagen,4life,https://images.openfoodfacts.org/images/products/000/010/342/5404/front_en.3.400.jpg,30.6000003814697,3.46000003814697,4.05999994277954,0.159999996423721,0.74,tier2,8.0g,,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/342/5404/front_en.3.200.jpg,,,,,,,,,,,us,en:united-states,,
103783001,greek yogurt,Chobani,https://images.openfoodfacts.org/images/products/000/010/378/3001/front_en.3.400.jpg,86.666666666667,7.3333333333333,10.666666666667,1.6666666666667,0.76,tier2,,,,,,,,,,,,,en:greek-style-yogurts,,https://images.openfoodfacts.org/images/products/000/010/378/3001/front_en.3.200.jpg,,,,,,,,,,,en:us,en:united-states,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts"
104052486,Poutargue de mulet râpée 50g,Miyam,https://images.openfoodfacts.org/images/products/000/010/405/2486/front_en.4.400.jpg,377.0,40.5,2.4,22.7,0.74,tier2,5.0g,,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/405/2486/front_en.4.200.jpg,,,,,,,,,,,us,en:united-states,,
105000066,Herbal Tea Cinnamon,,https://images.openfoodfacts.org/images/products/000/010/500/0066/front_en.3.400.jpg,0.0,0.0,60.0,0.0,0.7,tier2,,,,,,,,,,,,,en:tea-bags,,https://images.openfoodfacts.org/images/products/000/010/500/0066/front_en.3.200.jpg,,,,,,,,,,,en:us,en:united-states,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, Tea bags","en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:tea-bags"
105120000,Pillsbury puff pastry,Pillsbury,https://images.openfoodfacts.org/images/products/000/010/512/0000/front_en.3.400.jpg,456.14035087719,5.2631578947368,29.824561403509,33.333333333333,0.68,tier2,,,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/512/0000/front_en.3.200.jpg,,,,,,,,,,,en:us,en:united-states,,
105422648,100% Grass-Fed Whey Protein Isolate,Transparent,https://images.openfoodfacts.org/images/products/000/010/542/2648/front_en.3.400.jpg,372.0,80.2,2.87,2.87,0.74,tier2,1 scoop (34.9 g),,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/542/2648/front_en.3.200.jpg,,,,,,,,,,,en:United States,en:united-states,,
107343861,Whey Protein Isolate Vanilla,Nutricost,https://images.openfoodfacts.org/images/products/000/010/734/3861/front_en.3.400.jpg,378.0,81.1,5.41,1.35,0.74,tier2,0.333 c (37 g),,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/734/3861/front_en.3.200.jpg,,,,,,,,,,,en:United States,en:united-states,,
109160254,Farmer Cheese,,https://images.openfoodfacts.org/images/products/000/010/916/0254/front_en.3.400.jpg,150.0,16.666666666667,3.3333333333333,8.3333333333333,0.64,tier2,,,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/916/0254/front_en.3.200.jpg,Kosher,en:kosher,,,,,,,,,en:us,en:united-states,,
109161497,Kefir blueberry,,https://images.openfoodfacts.org/images/products/000/010/916/1497/front_en.3.400.jpg,66.666666666667,3.3333333333333,8.75,2.0833333333333,0.64,tier2,,,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/916/1497/front_en.3.200.jpg,No preservatives,en:no-preservatives,,,,,,,,,en:us,en:united-states,,
109161534,Butter,,https://images.openfoodfacts.org/images/products/000/010/916/1534/front_en.3.400.jpg,714.28571428571,0.0,0.0,78.571428571429,0.62,tier2,,,,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/010/916/1534/front_en.3.200.jpg,,,,,,,,,,,en:us,en:united-states,,
